시설년도,위치코드,시설구분1,시설구분2,쉼터명칭,도로명주소,지번주소,기본운영_요일,기본운영_시작시간,기본운영_종료시간,피크시간_개방,주말_개방,연장운영,추가운영,경도,위도,X좌표(EPSG:5186),Y좌표(EPSG:5186)
2026,1154567000,특정계층이용시설,회원이용시설,금산경로당,서울특별시 금천구 시흥대로24길 50,서울특별시 금천구 시흥동 948-14,"월,화,수,목,금",09:00,18:00,True,False,False,False,126.9071673,37.4412742,191784.80189904,537990.39950225
2026,1154567000,특정계층이용시설,회원이용시설,박산경로당,서울특별시 금천구 시흥대로2길 60,서울특별시 금천구 시흥동 973,"월,화,수,목,금",09:00,18:00,True,False,False,False,126.9065287,37.4350423,191727.60326665,537298.80225979
2026,1154570000,생활밀착민간시설,금융기관,새마을금고시흥제1지점,서울특별시 금천구 독산로 140-1 (시흥동),서울특별시 금천구 시흥동 802-34,"월,화,수,목,금",09:00,16:00,False,False,False,False,126.9052112,37.4599475,191613.78234748,540063.04942284
2026,1154570000,특정계층이용시설,회원이용시설,한울경로당,"서울특별시 금천구 독산로50마길 39-8 (시흥동, 삼성빌라)",서울특별시 금천구 시흥동 3-33,"월,화,수,목,금",09:00,18:00,True,False,False,False,126.913054,37.4611121,192307.77520021,540191.63480464
2026,1154567000,특정계층이용시설,회원이용시설,장수경로당,서울특별시 금천구 시흥동 독산로50길  57-1  (시흥동),서울특별시 금천구 시흥동 8-9,"월,화,수,목,금",09:00,18:00,True,False,False,False,126.9075398,37.4628413,191820.11507669,540384.01696648
2026,1154570000,특정계층이용시설,회원이용시설,신흥경로당,서울특별시 금천구 금하로23길 155,서울특별시 금천구 시흥동 산 126-13,"월,화,수,목,금",09:00,18:00,True,False,False,False,126.9073526,37.4570322,191802.91955392,539739.30260484
2026,1154567000,공공시설,공공청사,시흥4동주민센터,서울특별시 금천구 독산로36길 14 (시흥4동주민센터),서울특별시 금천구 시흥동 812-38,"월,화,수,목,금",09:00,18:00,True,False,True,True,126.906146,37.458938,191696.37499063,539950.92593374
2026,1154570000,공공시설,복지·문화·체육시설,새재미마을활력소,서울특별시 금천구 독산로50길 105,서울특별시 금천구 시흥동 3-83,"월,화,수,목,금",09:00,18:00,True,False,False,False,126.9101755,37.4623248,192053.23887799,540326.46689335
2026,1154571000,특정계층이용시설,회원이용시설,백운한비치2차아파트경로당,서울특별시 금천구 금하로23길 52 (백운한비치Ⅱ101동),서울특별시 금천구 시흥동 1018,"월,화,수,목,금",09:00,18:00,True,False,False,False,126.909866,37.453498,192024.92016835,539346.83934951
2026,1154571000,특정계층이용시설,회원이용시설,백운한비치1차아파트경로당,서울특별시 금천구 탑골로2길 19 (백운한비치아파트1동),서울특별시 금천구 시흥동 1012,"월,화,수,목,금",09:00,18:00,True,False,False,False,126.911863,37.45148,192201.405777,539122.70208202
2026,1154571000,공공시설,공공청사,금천정원지원센터,서울특별시 금천구 시흥대로40길 120,서울특별시 금천구 시흥동 산 77-13,"화,수,목,금,토",09:00,18:00,True,True,False,True,126.909782,37.446302,192016.72313984,538548.19027485
2026,1154571000,특정계층이용시설,회원이용시설,시흥5동임시어르신쉼터,서울특별시 금천구 금하로 700 (시흥동),서울특별시 금천구 시흥동 909-15,"월,화,수,목,금",09:00,18:00,True,False,False,False,126.907652,37.4514243,191828.7992485,539116.87701435
2026,1154571000,생활밀착민간시설,금융기관,새마을금고금천남부,서울특별시 금천구 금하로 724-1 (시흥동),서울특별시 금천구 시흥동 272-19,"월,화,수,목,금",09:00,16:00,False,False,False,False,126.9101357,37.4504235,192048.45785273,539005.58958133
2026,1154571000,공공시설,복지·문화·체육시설,공동체경제통합지원센터(1관),서울특별시 금천구 은행나무로 45 (시흥동),서울특별시 금천구 시흥동 909-34,"월,화,수,목,금",09:00,18:00,True,False,True,True,126.9074665,37.4510333,191812.34308573,539073.49753033
2026,1154571000,공공시설,복지·문화·체육시설,금천마을활력소어울샘(2층어울샘홀),서울특별시 금천구 탑골로 22 (시흥동),서울특별시 금천구 시흥동 247-19,"화,수,목,금,토",10:00,19:00,True,True,False,False,126.9116314,37.4518201,192180.94859526,539160.46766959
2026,1154571000,특정계층이용시설,회원이용시설,읍내경로당,서울특별시 금천구 은행나무로10길 12-1,서울특별시 금천구 시흥동 921-29,"월,화,수,목,금",09:00,18:00,True,False,False,False,126.9063177,37.4504237,191710.62633443,539005.94082048
2026,1154571000,특정계층이용시설,회원이용시설,탑동경로당,서울특별시 금천구 금하로23가길 14-1 (시흥동),서울특별시 금천구 시흥동 828-48,"월,화,수,목,금",09:00,18:00,True,False,False,False,126.9095322,37.4515244,191995.17513237,539127.82533361
2026,1154571000,공공시설,공공청사,시흥5동주민센터,서울특별시 금천구 금하로24길 6 (시흥동),서울특별시 금천구 시흥동 910-5,"월,화,수,목,금",09:00,18:00,True,False,True,True,126.9084,37.4508,191894.91696647,539047.5237532
2026,1100000000,특정계층이용시설,특수근로자 쉼터,휴서울이동노동자가산쉼터,서울특별시 금천구 가산동 60-35,서울특별시 금천구 가산동 60-35,"월,화,수,목,금,토,일",08:00,02:00,True,True,False,False,126.8857,37.477183,189889.89538031,541977.87297114
2026,1154551000,생활밀착민간시설,종교시설,한빛교회,서울특별시 금천구 가산로7길 6 (가산동),서울특별시 금천구 가산동 152-37,"월,화,수,목,금",09:00,18:00,True,False,False,False,126.8925646,37.475733,190496.9020332,541816.22746273
2026,1154551000,공공시설,복지·문화·체육시설,대한적십자사금천봉사나눔터,서울특별시 금천구 가산디지털2로 169-44 (가산동),서울특별시 금천구 가산동 535-146,"월,화,수,목,금",09:00,18:00,True,False,False,False,126.8749505,37.48264,188939.88069847,542584.73591453
2026,1154551000,공공시설,복지·문화·체육시설,책이든거리작은도서관,,서울특별시 금천구 가산동 677,"화,수,목,금,토",10:00,19:00,True,True,False,False,126.887659,37.466717,190061.78801208,540816.07906525
2026,1154551000,공공시설,복지·문화·체육시설,금천구립가산도서관,서울특별시 금천구 가산로5길 43 (가산동),서울특별시 금천구 가산동 235-3,"월,화,수,목,금,토,일",09:00,18:00,True,True,False,False,126.8921193,37.4734915,190457.228437,541567.49600594
2026,1154551000,생활밀착민간시설,금융기관,신한은행디지털중앙지점,서울특별시 금천구 가산디지털1로 186 (가산동),서울특별시 금천구 가산동 459-11,"월,화,수,목,금",09:00,16:00,False,False,False,False,126.8815541,37.48201,189523.85450539,542514.05903251
2026,1154551000,특정계층이용시설,기타,금천누리종합사회복지관,서울특별시 금천구 가산로 129,서울특별시 금천구 가산동 144-3,"월,화,수,목,금",09:00,18:00,True,False,False,False,126.8917582,37.4768451,190425.71452533,541939.73738974
2026,1154551000,특정계층이용시설,회원이용시설,상록경로당,서울특별시 금천구 벚꽃로38길 35 (가산동),서울특별시 금천구 가산동 602-71,"월,화,수,목,금",09:00,18:00,True,False,False,False,126.8843,37.4828,189766.82804705,542601.43660211
2026,1154551000,특정계층이용시설,회원이용시설,우정경로당,서울특별시 금천구 두산로3길 49,서울특별시 금천구 가산동 238-3,"월,화,수,목,금",09:00,18:00,True,False,False,False,126.8887064,37.4726854,190155.22871299,541478.38101907
2026,1154551000,특정계층이용시설,회원이용시설,매봉경로당,"서울특별시 금천구 가산동 시흥대로149가길  6 , 조마공원 (가산동)",서울특별시 금천구 가산동 148-11,"월,화,수,목,금",09:00,18:00,True,False,False,False,126.895548,37.4755881,190760.77813385,541799.84861451
2026,1154551000,공공시설,공공청사,가산동주민센터,서울특별시 금천구 가산동 가산로  129   (가산동),서울특별시 금천구 가산동 144-3,"월,화,수,목,금",09:00,18:00,True,False,True,True,126.8917866,37.4769139,190428.23535916,541947.37038437
2026,1154561000,공공시설,공공청사,독산1동주민센터분소,서울특별시 금천구 한내로 69-15 (주공13단지아파트1315동),서울특별시 금천구 독산동 1088-1,"월,화,수,목,금",09:00,18:00,True,False,False,False,126.886866,37.457844,189990.45275752,539831.38085334
2026,1154561000,공공시설,복지·문화·체육시설,국민건강보험공단금천지사,서울특별시 금천구 시흥대로 415 (디디에스빌딩),서울특별시 금천구 독산동 288-3,"월,화,수,목,금",09:00,18:00,True,False,False,False,126.897669,37.470812,190947.81363641,541269.55963568
2026,1154561000,특정계층이용시설,회원이용시설,금천현대아파트경로당,서울특별시 금천구 벚꽃로 73 (금천현대아파트부설어린이집),서울특별시 금천구 독산동 711-2,"월,화,수,목,금",09:00,18:00,True,False,False,False,126.890337,37.462267,190298.12153978,540321.91029481
2026,1154561000,특정계층이용시설,회원이용시설,금천롯데캐슬골드파크3차경로당,서울특별시 금천구 시흥대로 291 (금천롯데캐슬골드파크3차),서울특별시 금천구 독산동 1155,"월,화,수,목,금",09:00,18:00,True,False,False,False,126.89725,37.459919,190909.43013409,540060.62479319
2026,1154561000,특정계층이용시설,회원이용시설,금천롯데캐슬골드파크1차경로당,서울특별시 금천구 벚꽃로 40 (금천롯데캐슬 골드파크 1차 102동),서울특별시 금천구 독산동 1147,"월,화,수,목,금",09:00,18:00,True,False,False,False,126.89446,37.459752,190662.57046532,540042.36296181
2026,1154561000,특정계층이용시설,회원이용시설,진도3차아파트경로당,서울특별시 금천구 범안로17길 41 (진도3차아파트 진도3차아파트),서울특별시 금천구 독산동 1136,"월,화,수,목,금",09:00,18:00,True,False,False,False,126.893454,37.468504,190574.66541831,541013.81622467
2026,1154561000,공공시설,복지·문화·체육시설,금천뮤지컬센터,서울특별시 금천구 시흥대로115길 48 (독산동),서울특별시 금천구 독산동 300-21,"월,화,수,목,금",09:00,18:00,True,False,False,False,126.8938494,37.4689402,190609.69809743,541062.1890401
2026,1154561000,생활밀착민간시설,금융기관,새마을금고금천중앙,서울특별시 금천구 가산로 52 (독산동),서울특별시 금천구 독산동 151-13,"월,화,수,목,금",09:00,16:00,False,False,False,False,126.8971619,37.4717225,190903.06596979,541370.66174323
2026,1154561000,특정계층이용시설,기타,금천구장애인돌봄쉼터,서울특별시 금천구 두산로 70 (독산동),서울특별시 금천구 독산동 291-1,"월,화,수,목,금",09:00,18:00,True,False,False,False,126.8954909,37.4684548,190754.84885166,541008.15380198
2026,1154561000,공공시설,복지·문화·체육시설,복숭아마을수다방,서울특별시 금천구 시흥대로139길 28 (독산동),서울특별시 금천구 독산동 149-61,"월,화,수,목,금",09:00,18:00,True,False,False,False,126.896518,37.472971,190846.2595942,541509.29085794
2026,1154561000,공공시설,복지·문화·체육시설,금하마을주민공동이용시설(1층공유부엌),서울특별시 금천구 금하로1다길 16 (독산동),서울특별시 금천구 독산동 1118-8,"월,화,수,목,금",09:00,18:00,True,False,True,False,126.8914194,37.4529858,190392.69420577,539291.7133995
2026,1154561000,공공시설,복지·문화·체육시설,금나래문화체육센터(1층북카페),서울특별시 금천구 시흥대로79길 32 (독산동),서울특별시 금천구 독산동 1148,"월,화,수,목,금,토",09:00,21:00,True,True,True,True,126.896411,37.458887,190835.0755715,539946.16820371
2026,1154561000,공공시설,복지·문화·체육시설,모두의마을공간커뮤니티센터(1층다목적홀),서울특별시 금천구 벚꽃로 14 (독산동),서울특별시 금천구 독산동 1151,"수,목,금,토,일",09:00,18:00,True,True,False,False,126.8944073,37.4572563,190657.59747885,539765.37966561
2026,1154561000,특정계층이용시설,기타,금천어르신복지센터,서울특별시 금천구 범안로17길 22 (독산동),서울특별시 금천구 독산동 293-14,"월,화,수,목,금",09:00,18:00,True,False,False,False,126.8944,37.4674,190658.21367258,540891.19290035
